likes,text,url
1057,"СРОЧНО! МОЛНИЯ!

Вышел подкаст, где я по факту предъявил за пропаганду в ‘Майор Гром’’. Разобрал ''пропагандистов'' на изи. 

https://www.youtube.com/watch?v=8LTmm1sPDBY",
1270,"Хочу официально принести извинения Майклу Наки за неоьоснованные оскорбления с моей стороны.

Хоть я и считаю то, что говорит Майкл полным бредом, сам он не вызывает абсолютно ни капли негатива. 

Так что мы проведем стрим и обсудим декабристов и т.д. Со своей стороны даю гарантию своего адекватного поведения и для общения с Майклом даже откажусь от мата.

Пис. Злым надо быть со злыми людьми, а Майкл классный.",
759,"Охуеть, а может не стоило доверяться явно неадекватному паблику ТУЕ?
Тогда бы не пришлось извиняться за дезинформацию про меня. 

Если вкратце, то вчерашний чел, вышедший с пикетом решил извиниться, потому-что оказалось, что долбоебы из ТУЕ просто вырезали мои слова из контекста и оклеветали, а он поверил. Когда этот факт вскрылся, то он удалил своё видео. 

Никогда такого не было и вот опять. Но огромный тебе респект, что признал. 

[club178630246|@club178630246] в очередной раз обосрались, но на любые претензии они ответят ''стас не тупой'' и просто забанят вас. В этом паблике банят за любые сомнения в моей ''не тупости'' , ведь это мешает им распространять дезинформацию. 

Пиздец. Вот насколь ж ёбнутые люди бывают. 

 https://youtu.be/C1aNkLnnZ3o",
816,"Мне вот интересно, Наки долбоеб?
Сука, я же таой стрим разбирал где ты сравнивал ""Грома"" с ""Союзом спасения"".

А союз спасения про декабристов, если ты не понял. Пиздец, я в ахуе. Это дефиченто вообще помнит хотя бы что говорит?

Наки, го стрим, бро, ты так-то охуенный чувак, просто дефиктивный немног.",https://sun9-71.userapi.com/impg/r9NENS3Fxzm0oaeiPND64gg6X543XqDQjNu4Aw/Sjf2O1jdOtI.jpg?size=601x976&quality=96&sign=8e8c3767cb4d852be88ddecdd316bca4&c_uniq_tag=fTuJ4RQU4rYFBgAZifpFWMVYE4cJBNryhUyhzbPZrUU&type=album
785,ахахахахах,
1171,"Не стоит шутить с шизой. 
Не фотошоп. Даже видео есть. 
https://youtu.be/daaCNcLAcpA

Я просто в ахуе с того насколько надо быть ебнутым, чтоб кого ненавидеть настолько, чтобы заниматься подобной хуйнёй. Не получая с этого профита даже никакого. 

Да даже если б это имело какой-то эфффект, в думе бы посмотрели, что у меня даже прав нет и я ни разу не сидел за рулем, просто посмеялись бы и послали вас в трёхбуквенное эротическое турнэ. 

Лишить меня прав, которых у меня нет – сложноватая задачка, лол. Но шизам, я думаю, поебать.",https://sun9-69.userapi.com/impg/tGIbwQpwOGlkDG39qTICzA1_YATk1xbLat3W-w/O6z0F7Qp9X8.jpg?size=814x1080&quality=96&sign=03cff050e2ee266207ce46dc3d50caed&c_uniq_tag=0KyLG5_8nUYOYUFdZv2B2MoVFGg1qWfBhqA2CChWuh8&type=album
2996,"Ребята из ТУЕ - ОГРОМНОЕ ВАМ СПАСИБО. 
Дело в том, что они скинули в поддержку банка несколько моих обзоров на Вилсу и Яна Топлеса и сказали, что я их ""травлю"" 
Травли в роликах не нашли, но оказалось, что в Тинькоф тоже не очень любят этих блогеров...И МНЕ ВЫПИСАЛИ ПРЕМИЮ.
Какой охуенный день.",https://sun9-63.userapi.com/impg/MEzcslE4h8Jb47OQ8Wf0nzKI2jBjTy21DTPrwg/Jwn-c-JEB50.jpg?size=1116x814&quality=96&sign=35281d3cef782413df6f37a64531d8be&c_uniq_tag=nvXMXlCK-L6H5UxWTJAJidye4nILDnGen-HRDZvUrHU&type=album
2242,"Ребята из Бабл Комикс увидели мой отзыв о Майоре и позвали на подкаст. Пообщались очень круто. Я задал все вопросы касательно агитки в фильме, Навального, второй части, плохих сборах и многом другом. Вам понравится.
Моментами, конечно, получилось очень жёстко, но из песни слов не выкинуть.
Ребята надарили мне комиксов (хотя первые два тома я и так уже купил), а я, вдохновленный этим событием поехал после подкаста в кино, на еще один сеанс ""Грома"". Жалко, что дела у них по части сбора не просто плачевные, а прям катастрофические.
Грустно это всё. Несправедливо. Надеюсь, все будет хорошо и хочу поддержать чем могу, так что если думаете на что сходить, советую сходить на ""Майор Гром"".",https://sun9-24.userapi.com/impg/xoHkmHuT9bhgxu_YEHqgCaV_SAuSO-H2wZ8yPA/29-QPMHSJMo.jpg?size=1280x960&quality=96&sign=fd3a24cc91a09f9078c482e93cbec8f0&c_uniq_tag=uueHDh3md3rPOjG7-Mc2N5Iib73cBYb6q5z2myY_RMk&type=album
1752,"Ватоадмин с Баженовым сделали разбор нашей ответки. 
Я не смотрел эти шесть часов, глянул просто разные тейки. 

Ватоадмин говорит – ''я узнал, факультет политологии МГИМО это просто шарашкина контора ну че ты хочешь от этого»

Вато, извини, но в МГИМО факультета политологии уже четыре года как нет. 

Кстати, ВШЭ не шарашка ни разу. Ага. 

Охуенные истории про ''Шариковых'' и ''Атлантов''. Ни грамма фантазии или толики оригинальности. 

Остальные тейки ещё смешнее. Я говорил, оказывается, что надо всё придумывать с нуля, не полагаясь на ранее написанные материалы!

Блять, я сказал лишь, что Баженов занимается постоянным пересказом уже миллион раз обмусоленных мейнстримных книжек, не дополняя это никак. Я же не против базирования на чём-то уже созданно, с последующим дополнением и поиском идей. 
В очередной раз они приписали мне то, чего я не говорил и разьебали ''по фактам''. 

Наш умный Ватоадмин, мой тезис о том, что если экономист говорит, что кризисы носят стихийный характер и их в принципе НЕВОЗМОЖНО предсказать, то он скорее синоптик, а не учёный, в чем тогда смысл его работы? (Ну кроме сбора денег Патроне), передёрнул и опять разьебал по факту. Оказывается мне не понять всю сложность науки от двух учёных. 

Да как же тут поймешь когда у вас звук всратый. А чо вы хотели? Они УЧЕНЫЕ. Нормальный звук это для быдла. 

Эти ребята просто надменные дети, которые ловко жонглируя статистикой просто самоутверждаются. Я не мастак раздавать советы, но если вам в жизни встречается кто-то подобный - вынесите его за скобку. 

Такие пустые, бесконечно уверенные в собственной непогрешимости людей могут только одно - тянуть вниз.

P.S. Баженов на фоне Ватохуйни выглядит наиболее разумно и адекватно. Даже про бомжей шутить не буду.",
1930,"Чёртова государственная машина бедных научпоперов не щадит. Ребят, на митинги срочно выходим",https://sun9-48.userapi.com/impg/E81WuuZsOoyrpdzENo1D1mTQcjeL2-xfCmq5og/RqjB8agx7wE.jpg?size=1280x576&quality=96&sign=82a867725ed771bd16fcd0942c3d46d4&c_uniq_tag=YiZqoVpSVokL5p8OYILnvoIMVFIFhf1TCOqdcjYN48M&type=album
